run_id,category,lead_set,n_leads,seed,split,macro,auc_CD,auc_HYP,auc_MI,auc_NORM,auc_STTC,ap_CD,ap_HYP,ap_MI,ap_NORM,ap_STTC
2026-09-24_14-42-02,baseline,full12,12,0,test,0.9198,0.9142,0.8951,0.9177,0.9429,0.9291,0.8245,0.6647,0.8180,0.9176,0.8032
2026-09-24_14-42-02,baseline,full12,12,1,test,0.9207,0.9130,0.8913,0.9240,0.9432,0.9319,0.8171,0.6625,0.8258,0.9196,0.8073
2026-09-24_14-42-02,baseline,full12,12,2,test,0.9189,0.9097,0.8944,0.9177,0.9408,0.9320,0.8145,0.6641,0.8206,0.9151,0.8114
2026-09-24_14-42-02,wall_region,anterior,3,0,test,0.8667,0.8552,0.8199,0.8523,0.9064,0.8999,0.7164,0.4831,0.7288,0.8564,0.7376
2026-09-24_14-42-02,wall_region,anterior,3,1,test,0.8670,0.8541,0.8210,0.8537,0.9073,0.8989,0.7156,0.4841,0.7332,0.8612,0.7317
2026-09-24_14-42-02,wall_region,anterior,3,2,test,0.8672,0.8553,0.8204,0.8515,0.9081,0.9005,0.7221,0.4870,0.7307,0.8610,0.7427
2026-09-24_14-42-02,wall_region,septal,3,0,test,0.8644,0.8651,0.8215,0.8485,0.8990,0.8879,0.7433,0.4462,0.7314,0.8416,0.6957
2026-09-24_14-42-02,wall_region,septal,3,1,test,0.8643,0.8657,0.8201,0.8462,0.9011,0.8883,0.7376,0.4476,0.7236,0.8487,0.7071
2026-09-24_14-42-02,wall_region,septal,3,2,test,0.8641,0.8635,0.8210,0.8475,0.9014,0.8871,0.7388,0.4457,0.7297,0.8479,0.6998
2026-09-24_14-42-02,wall_region,lateral,3,0,test,0.9022,0.8826,0.8911,0.8795,0.9333,0.9243,0.7725,0.6751,0.7473,0.8999,0.7929
2026-09-24_14-42-02,wall_region,lateral,3,1,test,0.9003,0.8761,0.8892,0.8793,0.9325,0.9244,0.7679,0.6748,0.7489,0.8997,0.7850
2026-09-24_14-42-02,wall_region,lateral,3,2,test,0.9020,0.8803,0.8920,0.8809,0.9329,0.9240,0.7723,0.6695,0.7559,0.8975,0.7889
2026-09-24_14-42-02,wall_region,inferior,3,0,test,0.8893,0.8790,0.8486,0.8761,0.9266,0.9162,0.7722,0.5384,0.7469,0.8927,0.7637
2026-09-24_14-42-02,wall_region,inferior,3,1,test,0.8898,0.8799,0.8498,0.8752,0.9272,0.9169,0.7730,0.5358,0.7407,0.8918,0.7616
2026-09-24_14-42-02,wall_region,inferior,3,2,test,0.8905,0.8804,0.8492,0.8787,0.9283,0.9158,0.7748,0.5428,0.7457,0.8934,0.7594
2026-09-24_14-42-02,lead_group,limb6,6,0,test,0.8901,0.8794,0.8497,0.8757,0.9291,0.9166,0.7736,0.5320,0.7415,0.8966,0.7636
2026-09-24_14-42-02,lead_group,limb6,6,1,test,0.8889,0.8786,0.8459,0.8766,0.9282,0.9153,0.7708,0.5340,0.7430,0.8952,0.7622
2026-09-24_14-42-02,lead_group,limb6,6,2,test,0.8895,0.8822,0.8478,0.8744,0.9270,0.9162,0.7764,0.5336,0.7390,0.8933,0.7601
2026-09-24_14-42-02,lead_group,chest6,6,0,test,0.8963,0.8922,0.8706,0.8686,0.9234,0.9268,0.7715,0.6184,0.7453,0.8810,0.8064
2026-09-24_14-42-02,lead_group,chest6,6,1,test,0.8953,0.8916,0.8727,0.8635,0.9220,0.9268,0.7745,0.6124,0.7466,0.8766,0.8096
2026-09-24_14-42-02,lead_group,chest6,6,2,test,0.8942,0.8902,0.8681,0.8660,0.9217,0.9248,0.7720,0.6029,0.7462,0.8782,0.8016
2026-09-24_14-42-02,device,leadI,1,0,test,0.8293,0.8117,0.7986,0.7748,0.8912,0.8701,0.6652,0.4594,0.5295,0.8351,0.6568
2026-09-24_14-42-02,device,leadI,1,1,test,0.8306,0.8153,0.7994,0.7781,0.8915,0.8686,0.6691,0.4555,0.5345,0.8351,0.6531
2026-09-24_14-42-02,device,leadI,1,2,test,0.8290,0.8083,0.7974,0.7787,0.8905,0.8701,0.6626,0.4561,0.5335,0.8346,0.6520
2026-09-24_14-42-02,device,I_II,2,0,test,0.8913,0.8837,0.8500,0.8784,0.9287,0.9158,0.7738,0.5410,0.7461,0.8941,0.7599
2026-09-24_14-42-02,device,I_II,2,1,test,0.8895,0.8797,0.8473,0.8768,0.9270,0.9168,0.7708,0.5372,0.7447,0.8936,0.7619
2026-09-24_14-42-02,device,I_II,2,2,test,0.8905,0.8801,0.8516,0.8764,0.9279,0.9162,0.7710,0.5448,0.7462,0.8936,0.7619
