run_id,category,lead_set,n_leads,seed,split,macro,auc_CD,auc_HYP,auc_MI,auc_NORM,auc_STTC,ap_CD,ap_HYP,ap_MI,ap_NORM,ap_STTC
2026-09-14_00-22-29,baseline,full12,12,0,val,0.9271,0.9282,0.9033,0.9270,0.9459,0.9313,0.8420,0.6420,0.8297,0.9269,0.7807
2026-09-14_00-22-29,baseline,full12,12,1,val,0.9265,0.9217,0.9035,0.9303,0.9455,0.9315,0.8354,0.6470,0.8309,0.9265,0.7845
2026-09-14_00-22-29,baseline,full12,12,2,val,0.9270,0.9281,0.9023,0.9257,0.9467,0.9322,0.8413,0.6485,0.8238,0.9275,0.7862
2026-09-14_00-22-29,wall_region,anterior,3,0,val,0.8712,0.8567,0.8427,0.8574,0.9074,0.8920,0.7109,0.4902,0.7284,0.8695,0.6801
2026-09-14_00-22-29,wall_region,anterior,3,1,val,0.8719,0.8599,0.8373,0.8591,0.9089,0.8944,0.7220,0.4742,0.7328,0.8733,0.6884
2026-09-14_00-22-29,wall_region,anterior,3,2,val,0.8722,0.8612,0.8407,0.8560,0.9090,0.8945,0.7182,0.4824,0.7269,0.8722,0.6823
2026-09-14_00-22-29,wall_region,septal,3,0,val,0.8713,0.8770,0.8257,0.8618,0.9033,0.8887,0.7601,0.4646,0.7404,0.8604,0.6893
2026-09-14_00-22-29,wall_region,septal,3,1,val,0.8706,0.8784,0.8200,0.8626,0.9013,0.8907,0.7603,0.4581,0.7401,0.8575,0.6870
2026-09-14_00-22-29,wall_region,septal,3,2,val,0.8723,0.8774,0.8289,0.8619,0.9035,0.8897,0.7545,0.4804,0.7379,0.8603,0.6877
2026-09-14_00-22-29,wall_region,lateral,3,0,val,0.9129,0.8980,0.8964,0.9009,0.9427,0.9267,0.7959,0.6272,0.7755,0.9190,0.7772
2026-09-14_00-22-29,wall_region,lateral,3,1,val,0.9107,0.8980,0.8916,0.8957,0.9419,0.9262,0.7937,0.6280,0.7670,0.9174,0.7754
2026-09-14_00-22-29,wall_region,lateral,3,2,val,0.9126,0.8935,0.8999,0.9007,0.9416,0.9272,0.7917,0.6387,0.7756,0.9174,0.7793
2026-09-14_00-22-29,wall_region,inferior,3,0,val,0.8960,0.9004,0.8346,0.8975,0.9328,0.9143,0.7952,0.4817,0.7617,0.9004,0.7584
2026-09-14_00-22-29,wall_region,inferior,3,1,val,0.8955,0.9014,0.8339,0.8957,0.9327,0.9140,0.7983,0.4824,0.7571,0.9027,0.7535
2026-09-14_00-22-29,wall_region,inferior,3,2,val,0.8945,0.9021,0.8283,0.8961,0.9315,0.9145,0.7993,0.4783,0.7614,0.9003,0.7539
2026-09-14_00-22-29,lead_group,limb6,6,0,val,0.8963,0.9016,0.8343,0.8985,0.9331,0.9141,0.7959,0.4785,0.7613,0.9014,0.7518
2026-09-14_00-22-29,lead_group,limb6,6,1,val,0.8946,0.8963,0.8341,0.8953,0.9332,0.9142,0.7910,0.4815,0.7520,0.9041,0.7543
2026-09-14_00-22-29,lead_group,limb6,6,2,val,0.8958,0.9024,0.8344,0.8968,0.9323,0.9131,0.7946,0.4842,0.7563,0.9011,0.7485
2026-09-14_00-22-29,lead_group,chest6,6,0,val,0.9069,0.8994,0.8909,0.8872,0.9319,0.9251,0.7848,0.6336,0.7704,0.9048,0.7737
2026-09-14_00-22-29,lead_group,chest6,6,1,val,0.9066,0.8999,0.8913,0.8859,0.9312,0.9245,0.7922,0.6294,0.7684,0.9033,0.7713
2026-09-14_00-22-29,lead_group,chest6,6,2,val,0.9073,0.8955,0.8935,0.8897,0.9321,0.9257,0.7864,0.6264,0.7740,0.9042,0.7716
2026-09-14_00-22-29,device,leadI,1,0,val,0.8321,0.8151,0.7922,0.7958,0.8876,0.8698,0.6767,0.4165,0.5792,0.8301,0.6460
2026-09-14_00-22-29,device,leadI,1,1,val,0.8324,0.8157,0.7912,0.7949,0.8879,0.8724,0.6748,0.4172,0.5750,0.8306,0.6518
2026-09-14_00-22-29,device,leadI,1,2,val,0.8323,0.8149,0.7909,0.7962,0.8878,0.8719,0.6718,0.4121,0.5739,0.8300,0.6506
2026-09-14_00-22-29,device,I_II,2,0,val,0.8942,0.8994,0.8304,0.8942,0.9325,0.9148,0.7924,0.4833,0.7546,0.9022,0.7555
2026-09-14_00-22-29,device,I_II,2,1,val,0.8948,0.9008,0.8304,0.8962,0.9325,0.9140,0.7947,0.4850,0.7585,0.9010,0.7501
2026-09-14_00-22-29,device,I_II,2,2,val,0.8963,0.9013,0.8368,0.8972,0.9320,0.9142,0.7924,0.4880,0.7594,0.9023,0.7519
